;Tweet;Sentimen;step01;tokens;tokens_perbaikan;Stop_removal;step02;ProcessedText
10;Ya Allah kami memohon pada mu perkenankanlah doa doa kami kerana sesungguhnya engkaulah yang maha pengasih lagi maha penyayang...Ya Allah lindungilah kami dari penyakit berjangkit covid 19... Aamiin.. aamiin ya rabbal a'lamin..stay at home.. jangan keluar rumah;1.0;ya allah kami memohon pada mu perkenankanlah doa doa kami kerana sesungguhnya engkaulah yang maha pengasih lagi maha penyayang repeated ya allah lindungilah kami dari penyakit berjangkit covid number repeated aamiin repeated aamiin ya rabbal lamin repeated stay at home repeated jangan keluar rumah;['ya', 'allah', 'kami', 'memohon', 'pada', 'mu', 'perkenankanlah', 'doa', 'doa', 'kami', 'kerana', 'sesungguhnya', 'engkaulah', 'yang', 'maha', 'pengasih', 'lagi', 'maha', 'penyayang', 'repeated', 'ya', 'allah', 'lindungilah', 'kami', 'dari', 'penyakit', 'berjangkit', 'covid', 'number', 'repeated', 'aamiin', 'repeated', 'aamiin', 'ya', 'rabbal', 'lamin', 'repeated', 'stay', 'at', 'home', 'repeated', 'jangan', 'keluar', 'rumah'];['iya', 'allah', 'kami', 'memohon', 'pada', 'mu', 'perkenankanlah', 'doa', 'doa', 'kami', 'kerana', 'sesungguhnya', 'engkaulah', 'yang', 'maha', 'pengasih', 'lagi', 'maha', 'penyayang', 'repeated', 'iya', 'allah', 'lindungilah', 'kami', 'dari', 'penyakit', 'berjangkit', 'covid', 'number', 'repeated', 'semoga', 'repeated', 'semoga', 'iya', 'rabbal', 'lamin', 'repeated', 'stay', 'at', 'home', 'repeated', 'jangan', 'keluar', 'rumah'];['iya', 'allah', 'memohon', 'mu', 'perkenankanlah', 'doa', 'doa', 'kerana', 'sesungguhnya', 'engkaulah', 'maha', 'pengasih', 'maha', 'penyayang', 'repeated', 'iya', 'allah', 'lindungilah', 'penyakit', 'berjangkit', 'covid', 'number', 'repeated', 'semoga', 'repeated', 'semoga', 'iya', 'rabbal', 'lamin', 'repeated', 'stay', 'at', 'home', 'repeated', 'rumah'];iya allah memohon mu perkenankanlah doa doa kerana sesungguhnya engkaulah maha pengasih maha penyayang repeated iya allah lindungilah penyakit berjangkit covid number repeated semoga repeated semoga iya rabbal lamin repeated stay at home repeated rumah;iya allah mohon mu kenan doa doa rana sungguh engkau maha asih maha sayang repeated iya allah lindung sakit jangkit covid number repeated moga repeated moga iya rabbal lamin repeated stay at home repeated rumah
11;Sah.. Cegah Covid-19 Meluas, Pemerintah Revisi Hari Libur dan Cuti Bersama 2020;1.0;sah repeated cegah covid number meluas pemerintah revisi hari libur dan cuti bersama number;['sah', 'repeated', 'cegah', 'covid', 'number', 'meluas', 'pemerintah', 'revisi', 'hari', 'libur', 'dan', 'cuti', 'bersama', 'number'];['sah', 'repeated', 'cegah', 'covid', 'number', 'meluas', 'pemerintah', 'revisi', 'hari', 'libur', 'dan', 'cuti', 'bersama', 'number'];['sah', 'repeated', 'cegah', 'covid', 'number', 'meluas', 'pemerintah', 'revisi', 'libur', 'cuti', 'number'];sah repeated cegah covid number meluas pemerintah revisi libur cuti number;sah repeated cegah covid number luas perintah revisi libur cuti number
12;"Bencana Nasional Covid-19; DPRD Indramayu Minta BUMD Beri Keringanan Tagihan Kredit hingga Tagihan PDAM |";1.0;bencana nasional covid number allcaps dprd allcaps indramayu minta allcaps bumd allcaps beri keringanan tagihan kredit hingga tagihan allcaps pdam allcaps;['bencana', 'nasional', 'covid', 'number', 'allcaps', 'dprd', 'allcaps', 'indramayu', 'minta', 'allcaps', 'bumd', 'allcaps', 'beri', 'keringanan', 'tagihan', 'kredit', 'hingga', 'tagihan', 'allcaps', 'pdam', 'allcaps'];['bencana', 'nasional', 'covid', 'number', 'allcaps', 'dprd', 'allcaps', 'indramayu', 'minta', 'allcaps', 'bumd', 'allcaps', 'beri', 'keringanan', 'tagihan', 'kredit', 'hingga', 'tagihan', 'allcaps', 'pdam', 'allcaps'];['bencana', 'nasional', 'covid', 'number', 'allcaps', 'dprd', 'allcaps', 'indramayu', 'allcaps', 'bumd', 'allcaps', 'keringanan', 'tagihan', 'kredit', 'tagihan', 'allcaps', 'pdam', 'allcaps'];bencana nasional covid number allcaps dprd allcaps indramayu allcaps bumd allcaps keringanan tagihan kredit tagihan allcaps pdam allcaps;bencana nasional covid number allcaps dprd allcaps indramayu allcaps bumd allcaps ringan tagih kredit tagih allcaps pdam allcaps
13;Cegah Covid-19, Pemprov dan FKUB Papua Barat Sepakat Adakan Doa Bersama Serentak. OPM;1.0;cegah covid number pemprov dan allcaps fkub allcaps papua barat sepakat adakan doa bersama serentak allcaps opm allcaps;['cegah', 'covid', 'number', 'pemprov', 'dan', 'allcaps', 'fkub', 'allcaps', 'papua', 'barat', 'sepakat', 'adakan', 'doa', 'bersama', 'serentak', 'allcaps', 'opm', 'allcaps'];['cegah', 'covid', 'number', 'pemprov', 'dan', 'allcaps', 'fkub', 'allcaps', 'papua', 'barat', 'sepakat', 'adakan', 'doa', 'bersama', 'serentak', 'allcaps', 'opm', 'allcaps'];['cegah', 'covid', 'number', 'pemprov', 'allcaps', 'fkub', 'allcaps', 'papua', 'barat', 'sepakat', 'adakan', 'doa', 'serentak', 'allcaps', 'opm', 'allcaps'];cegah covid number pemprov allcaps fkub allcaps papua barat sepakat adakan doa serentak allcaps opm allcaps;cegah covid number pemprov allcaps fkub allcaps papua barat sepakat adakan doa serentak allcaps opm allcaps
14;"pagi... kenapa ya di daerah sy (cipinang besar selatan) rt 7 rw 6 nya tdk prnh aware dgn warganya. Setiap ada bantuan tidak pernah transparansi &amp; kejadian covid ini jg tidak ada tindakan semprot disinfektan, dbd jg banyak tp tidak ada fogging. Tp uang kas ttp jalan";1.0;pagi repeated kenapa ya di daerah sy cipinang besar selatan rt number rw number nya tdk prnh aware dgn warganya setiap ada bantuan tidak pernah transparansi kejadian covid ini jg tidak ada tindakan semprot disinfektan dbd jg banyak tp tidak ada fogging tp uang kas ttp jalan;['pagi', 'repeated', 'kenapa', 'ya', 'di', 'daerah', 'sy', 'cipinang', 'besar', 'selatan', 'rt', 'number', 'rw', 'number', 'nya', 'tdk', 'prnh', 'aware', 'dgn', 'warganya', 'setiap', 'ada', 'bantuan', 'tidak', 'pernah', 'transparansi', 'kejadian', 'covid', 'ini', 'jg', 'tidak', 'ada', 'tindakan', 'semprot', 'disinfektan', 'dbd', 'jg', 'banyak', 'tp', 'tidak', 'ada', 'fogging', 'tp', 'uang', 'kas', 'ttp', 'jalan'];['pagi', 'repeated', 'kenapa', 'iya', 'di', 'daerah', 'saya', 'cipinang', 'besar', 'selatan', 'rt', 'number', 'rw', 'number', 'nya', 'tidak', 'prnh', 'aware', 'dengan', 'warganya', 'setiap', 'ada', 'bantuan', 'tidak', 'pernah', 'transparansi', 'kejadian', 'covid', 'ini', 'jg', 'tidak', 'ada', 'tindakan', 'semprot', 'disinfektan', 'dbd', 'jg', 'banyak', 'tapi', 'tidak', 'ada', 'fogging', 'tapi', 'uang', 'kas', 'tetap', 'jalan'];['pagi', 'repeated', 'iya', 'daerah', 'cipinang', 'selatan', 'rt', 'number', 'rw', 'number', 'nya', 'prnh', 'aware', 'warganya', 'bantuan', 'transparansi', 'kejadian', 'covid', 'jg', 'tindakan', 'semprot', 'disinfektan', 'dbd', 'jg', 'fogging', 'uang', 'kas', 'jalan'];pagi repeated iya daerah cipinang selatan rt number rw number nya prnh aware warganya bantuan transparansi kejadian covid jg tindakan semprot disinfektan dbd jg fogging uang kas jalan;pagi repeated iya daerah cipinang selatan rt number rw number nya prnh aware warga bantu transparansi jadi covid jg tindak semprot disinfektan dbd jg fogging uang kas jalan
15;Skrinews - Pdt. JIMMY: MARI BERSAMA MEMERANGI VIRUS CORONA (COVID-19) DEMI MENJAGA TANAH PAPUA;1.0;skrinews pdt allcaps jimmy allcaps allcaps mari bersama memerangi virus corona allcaps allcaps covid allcaps number allcaps demi menjaga tanah papua allcaps;['skrinews', 'pdt', 'allcaps', 'jimmy', 'allcaps', 'allcaps', 'mari', 'bersama', 'memerangi', 'virus', 'corona', 'allcaps', 'allcaps', 'covid', 'allcaps', 'number', 'allcaps', 'demi', 'menjaga', 'tanah', 'papua', 'allcaps'];['skrinews', 'pdt', 'allcaps', 'jimmy', 'allcaps', 'allcaps', 'mari', 'bersama', 'memerangi', 'virus', 'corona', 'allcaps', 'allcaps', 'covid', 'allcaps', 'number', 'allcaps', 'demi', 'menjaga', 'tanah', 'papua', 'allcaps'];['skrinews', 'pdt', 'allcaps', 'jimmy', 'allcaps', 'allcaps', 'mari', 'memerangi', 'virus', 'corona', 'allcaps', 'allcaps', 'covid', 'allcaps', 'number', 'allcaps', 'menjaga', 'tanah', 'papua', 'allcaps'];skrinews pdt allcaps jimmy allcaps allcaps mari memerangi virus corona allcaps allcaps covid allcaps number allcaps menjaga tanah papua allcaps;skrinews pdt allcaps jimmy allcaps allcaps mari rang virus corona allcaps allcaps covid allcaps number allcaps jaga tanah papua allcaps
16;Ada 15 cara menyuruh Covid-19 segera pergi, Jaga kebersihan dan ketertiban. Bukankah Covid-19 telah mendidik kita agar selalu menjaga kebersihan badan, pakaian, barang dan lingkungan dengan rajin mandi, mencuci tangan, dan tidak sembarangan membuang sampah?;1.0;ada number cara menyuruh covid number segera pergi jaga kebersihan dan ketertiban bukankah covid number telah mendidik kita agar selalu menjaga kebersihan badan pakaian barang dan lingkungan dengan rajin mandi mencuci tangan dan tidak sembarangan membuang sampah;['ada', 'number', 'cara', 'menyuruh', 'covid', 'number', 'segera', 'pergi', 'jaga', 'kebersihan', 'dan', 'ketertiban', 'bukankah', 'covid', 'number', 'telah', 'mendidik', 'kita', 'agar', 'selalu', 'menjaga', 'kebersihan', 'badan', 'pakaian', 'barang', 'dan', 'lingkungan', 'dengan', 'rajin', 'mandi', 'mencuci', 'tangan', 'dan', 'tidak', 'sembarangan', 'membuang', 'sampah'];['ada', 'number', 'cara', 'menyuruh', 'covid', 'number', 'segera', 'pergi', 'jaga', 'kebersihan', 'dan', 'ketertiban', 'bukankah', 'covid', 'number', 'telah', 'mendidik', 'kita', 'agar', 'selalu', 'menjaga', 'kebersihan', 'badan', 'pakaian', 'barang', 'dan', 'lingkungan', 'dengan', 'rajin', 'mandi', 'mencuci', 'tangan', 'dan', 'tidak', 'sembarangan', 'membuang', 'sampah'];['number', 'menyuruh', 'covid', 'number', 'pergi', 'jaga', 'kebersihan', 'ketertiban', 'covid', 'number', 'mendidik', 'menjaga', 'kebersihan', 'badan', 'pakaian', 'barang', 'lingkungan', 'rajin', 'mandi', 'mencuci', 'tangan', 'sembarangan', 'membuang', 'sampah'];number menyuruh covid number pergi jaga kebersihan ketertiban covid number mendidik menjaga kebersihan badan pakaian barang lingkungan rajin mandi mencuci tangan sembarangan membuang sampah;number suruh covid number pergi jaga bersih tertib covid number didik jaga bersih badan pakai barang lingkung rajin mandi cuci tangan sembarang buang sampah
17;Kementerian Agama Provinsi Papua Barat, Azis Hegemur mengatakan, Umat Islam di Provinsi Papua Barat diimbau agar tidak menolak pemakaman jenazah pasien positif terjangkit Covid-19. OPM;1.0;kementerian agama provinsi papua barat azis hegemur mengatakan umat islam di provinsi papua barat diimbau agar tidak menolak pemakaman jenazah pasien positif terjangkit covid number allcaps opm allcaps;['kementerian', 'agama', 'provinsi', 'papua', 'barat', 'azis', 'hegemur', 'mengatakan', 'umat', 'islam', 'di', 'provinsi', 'papua', 'barat', 'diimbau', 'agar', 'tidak', 'menolak', 'pemakaman', 'jenazah', 'pasien', 'positif', 'terjangkit', 'covid', 'number', 'allcaps', 'opm', 'allcaps'];['kementerian', 'agama', 'provinsi', 'papua', 'barat', 'azis', 'hegemur', 'mengatakan', 'umat', 'islam', 'di', 'provinsi', 'papua', 'barat', 'diimbau', 'agar', 'tidak', 'menolak', 'pemakaman', 'jenazah', 'pasien', 'positif', 'terjangkit', 'covid', 'number', 'allcaps', 'opm', 'allcaps'];['kementerian', 'agama', 'provinsi', 'papua', 'barat', 'azis', 'hegemur', 'umat', 'islam', 'provinsi', 'papua', 'barat', 'diimbau', 'menolak', 'pemakaman', 'jenazah', 'pasien', 'positif', 'terjangkit', 'covid', 'number', 'allcaps', 'opm', 'allcaps'];kementerian agama provinsi papua barat azis hegemur umat islam provinsi papua barat diimbau menolak pemakaman jenazah pasien positif terjangkit covid number allcaps opm allcaps;menteri agama provinsi papua barat azis hegemur umat islam provinsi papua barat imbau tolak makam jenazah pasien positif jangkit covid number allcaps opm allcaps
18;Aku baru bangun tidur, dan menyeruput kopi sedikit. Ketika ibuk mencak2 gak karuan. Satu orang pahlawan garis depan Covid-19 meninggal dunia dan ditolak warga setempat. Mungkin lebih tepatnya sekolompok warga yang kurang edukasi.;1.0;aku baru bangun tidur dan menyeruput kopi sedikit ketika ibuk mencak2 gak karuan satu orang pahlawan garis depan covid number meninggal dunia dan ditolak warga setempat mungkin lebih tepatnya sekolompok warga yang kurang edukasi;['aku', 'baru', 'bangun', 'tidur', 'dan', 'menyeruput', 'kopi', 'sedikit', 'ketika', 'ibuk', 'mencak2', 'gak', 'karuan', 'satu', 'orang', 'pahlawan', 'garis', 'depan', 'covid', 'number', 'meninggal', 'dunia', 'dan', 'ditolak', 'warga', 'setempat', 'mungkin', 'lebih', 'tepatnya', 'sekolompok', 'warga', 'yang', 'kurang', 'edukasi'];['aku', 'baru', 'bangun', 'tidur', 'dan', 'menyeruput', 'kopi', 'sedikit', 'ketika', 'ibuk', 'mencak2', 'tidak', 'karuan', 'satu', 'orang', 'pahlawan', 'garis', 'depan', 'covid', 'number', 'meninggal', 'dunia', 'dan', 'ditolak', 'warga', 'setempat', 'mungkin', 'lebih', 'tepatnya', 'sekolompok', 'warga', 'yang', 'kurang', 'edukasi'];['bangun', 'tidur', 'menyeruput', 'kopi', 'ibuk', 'mencak2', 'karuan', 'orang', 'pahlawan', 'garis', 'covid', 'number', 'meninggal', 'dunia', 'ditolak', 'warga', 'tepatnya', 'sekolompok', 'warga', 'edukasi'];bangun tidur menyeruput kopi ibuk mencak2 karuan orang pahlawan garis covid number meninggal dunia ditolak warga tepatnya sekolompok warga edukasi;bangun tidur seruput kopi ibuk mencak2 karuan orang pahlawan garis covid number tinggal dunia tolak warga tepat sekolompok warga edukasi
19;Jangan mudik dong! Ancaman penyebaran COVID-19 yang lebih luas. - Tandatangani Petisi! via;1.0;jangan mudik dong ancaman penyebaran allcaps covid allcaps number yang lebih luas tandatangani petisi via;['jangan', 'mudik', 'dong', 'ancaman', 'penyebaran', 'allcaps', 'covid', 'allcaps', 'number', 'yang', 'lebih', 'luas', 'tandatangani', 'petisi', 'via'];['jangan', 'mudik', 'dong', 'ancaman', 'penyebaran', 'allcaps', 'covid', 'allcaps', 'number', 'yang', 'lebih', 'luas', 'tandatangani', 'petisi', 'via'];['mudik', 'ancaman', 'penyebaran', 'allcaps', 'covid', 'allcaps', 'number', 'luas', 'tandatangani', 'petisi', 'via'];mudik ancaman penyebaran allcaps covid allcaps number luas tandatangani petisi via;mudik ancam sebar allcaps covid allcaps number luas tandatangani petisi via
20;Berita seperti ini tidak akan ditengok oleh Muflis DUNGU Kecuali berita HOAX macam kudeta MBS, 150 pangeran kena COVID-19 yg sumbernya sama dari kaum LIBERAL;-1.0;berita seperti ini tidak akan ditengok oleh muflis allcaps dungu allcaps kecuali berita allcaps hoax allcaps macam kudeta allcaps mbs allcaps number pangeran kena allcaps covid allcaps number yg sumbernya sama dari kaum allcaps liberal allcaps;['berita', 'seperti', 'ini', 'tidak', 'akan', 'ditengok', 'oleh', 'muflis', 'allcaps', 'dungu', 'allcaps', 'kecuali', 'berita', 'allcaps', 'hoax', 'allcaps', 'macam', 'kudeta', 'allcaps', 'mbs', 'allcaps', 'number', 'pangeran', 'kena', 'allcaps', 'covid', 'allcaps', 'number', 'yg', 'sumbernya', 'sama', 'dari', 'kaum', 'allcaps', 'liberal', 'allcaps'];['berita', 'seperti', 'ini', 'tidak', 'akan', 'ditengok', 'oleh', 'muflis', 'allcaps', 'dungu', 'allcaps', 'kecuali', 'berita', 'allcaps', 'bohong', 'allcaps', 'macam', 'kudeta', 'allcaps', 'mbs', 'allcaps', 'number', 'pangeran', 'kena', 'allcaps', 'covid', 'allcaps', 'number', 'yang', 'sumbernya', 'sama', 'dari', 'kaum', 'allcaps', 'liberal', 'allcaps'];['berita', 'ditengok', 'muflis', 'allcaps', 'dungu', 'allcaps', 'kecuali', 'berita', 'allcaps', 'bohong', 'allcaps', 'kudeta', 'allcaps', 'mbs', 'allcaps', 'number', 'pangeran', 'kena', 'allcaps', 'covid', 'allcaps', 'number', 'sumbernya', 'kaum', 'allcaps', 'liberal', 'allcaps'];berita ditengok muflis allcaps dungu allcaps kecuali berita allcaps bohong allcaps kudeta allcaps mbs allcaps number pangeran kena allcaps covid allcaps number sumbernya kaum allcaps liberal allcaps;berita tengok muflis allcaps dungu allcaps kecuali berita allcaps bohong allcaps kudeta allcaps mbs allcaps number pangeran kena allcaps covid allcaps number sumber kaum allcaps liberal allcaps
21;Giat Bhabinkamtibmas Polsek Tamalatea bersama Aparatur Desa Kareloe dan Relawan melakukan penyemprotan Disinfektan untuk mencegah penyebaran Virus Covid-19;1.0;giat bhabinkamtibmas polsek tamalatea bersama aparatur desa kareloe dan relawan melakukan penyemprotan disinfektan untuk mencegah penyebaran virus covid number;['giat', 'bhabinkamtibmas', 'polsek', 'tamalatea', 'bersama', 'aparatur', 'desa', 'kareloe', 'dan', 'relawan', 'melakukan', 'penyemprotan', 'disinfektan', 'untuk', 'mencegah', 'penyebaran', 'virus', 'covid', 'number'];['giat', 'bhabinkamtibmas', 'polsek', 'tamalatea', 'bersama', 'aparatur', 'desa', 'kareloe', 'dan', 'relawan', 'melakukan', 'penyemprotan', 'disinfektan', 'untuk', 'mencegah', 'penyebaran', 'virus', 'covid', 'number'];['giat', 'bhabinkamtibmas', 'polsek', 'tamalatea', 'aparatur', 'desa', 'kareloe', 'relawan', 'penyemprotan', 'disinfektan', 'mencegah', 'penyebaran', 'virus', 'covid', 'number'];giat bhabinkamtibmas polsek tamalatea aparatur desa kareloe relawan penyemprotan disinfektan mencegah penyebaran virus covid number;giat bhabinkamtibmas polsek tamalatea aparatur desa kareloe rawan semprot disinfektan cegah sebar virus covid number
